"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-15","2021","01","15","","14.1","","6.4","","10.2","","7.8","","0.0","","","","","","0.0","","","","27","","37",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-16","2021","01","16","","7.8","","4.4","","6.1","","11.9","","0.0","","","","","","0.4","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-17","2021","01","17","","11.3","","5.3","","8.3","","9.7","","0.0","","","","","","2.4","","","","26","","33",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-18","2021","01","18","","9.3","","3.6","","6.5","","11.5","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-19","2021","01","19","","8.0","","3.0","","5.5","","12.5","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-20","2021","01","20","","7.1","","4.7","","5.9","","12.1","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-21","2021","01","21","","7.8","","4.7","","6.3","","11.7","","0.0","","","","","","0.6","","","","1","","39",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-22","2021","01","22","","7.0","","1.9","","4.5","","13.5","","0.0","","","","","","0.2","","","","36","","33",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-23","2021","01","23","","6.2","","0.1","","3.2","","14.8","","0.0","","","","","","","M","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-24","2021","01","24","","5.4","","4.1","","4.8","","13.2","","0.0","","","","","","4.6","","","","13","","37",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-25","2021","01","25","","6.3","","2.4","","4.3","","13.7","","0.0","","","","","","0.0","","","","25","","39",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-26","2021","01","26","","6.1","","2.6","","4.3","","13.7","","0.0","","","","","","0.0","","","","13","","62",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-27","2021","01","27","","6.4","","3.1","","4.8","","13.2","","0.0","","","","","","0.0","","","","9","","48",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-28","2021","01","28","","5.6","","3.9","","4.7","","13.3","","0.0","","","","","","0.8","","","","1","","32",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-29","2021","01","29","","7.7","","2.2","","5.0","","13.0","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-30","2021","01","30","","8.8","","5.1","","7.0","","11.0","","0.0","","","","","","0.0","","","","15","","53",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-01-31","2021","01","31","","7.9","","5.8","","6.9","","11.1","","0.0","","","","","","7.2","","","","15","","38",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-01","2021","02","01","","7.5","","6.0","","6.7","","11.3","","0.0","","","","","","18.2","","","","26","","36",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-02","2021","02","02","","7.6","","4.6","","6.1","","11.9","","0.0","","","","","","2.2","","","","12","","48",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-03","2021","02","03","","8.8","","4.3","","6.5","","11.5","","0.0","","","","","","0.0","","","","13","","41",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-04","2021","02","04","","8.2","","5.6","","6.9","","11.1","","0.0","","","","","","1.6","","","","25","","69",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-05","2021","02","05","","10.8","","6.8","","8.8","","9.2","","0.0","","","","","","0.0","","","","25","","81",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-06","2021","02","06","","9.9","","6.2","","8.1","","9.9","","0.0","","","","","","0.4","","","","26","","72",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-07","2021","02","07","","9.0","","2.9","","5.9","","12.1","","0.0","","","","","","0.2","","","","25","","67",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-08","2021","02","08","","6.5","","1.0","","3.8","","14.2","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-09","2021","02","09","","3.5","","-1.1","","1.2","","16.8","","0.0","","","","","","","M","","","1","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-10","2021","02","10","","4.0","","-1.9","","1.0","","17.0","","0.0","","","","","","","M","","","35","","38",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-11","2021","02","11","","-1.5","","-4.0","","-2.8","","20.8","","0.0","","","","","","","","","","1","","65",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-12","2021","02","12","","-0.3","","-3.6","","-2.0","","20.0","","0.0","","","","","","","","","","2","","47",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-13","2021","02","13","","0.4","","-2.8","","-1.2","","19.2","","0.0","","","","","","","","","","9","","46",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-14","2021","02","14","","2.2","","-0.3","","1.0","","17.0","","0.0","","","","","","","M","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-15","2021","02","15","","3.6","","1.7","","2.6","","15.4","","0.0","","","","","","17.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-16","2021","02","16","","8.6","","3.0","","5.8","","12.2","","0.0","","","","","","0.0","","","","26","","60",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-17","2021","02","17","","8.5","","2.7","","5.6","","12.4","","0.0","","","","","","0.2","","","","26","","40",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-18","2021","02","18","","7.1","","3.7","","5.4","","12.6","","0.0","","","","","","1.2","","","","12","","43",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-19","2021","02","19","","8.6","","4.4","","6.5","","11.5","","0.0","","","","","","3.4","","","","25","","51",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-20","2021","02","20","","8.1","","4.4","","6.2","","11.8","","0.0","","","","","","0.4","","","","27","","47",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-21","2021","02","21","","10.9","","5.4","","8.2","","9.8","","0.0","","","","","","17.0","","","","25","","73",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-22","2021","02","22","","10.8","","4.6","","7.7","","10.3","","0.0","","","","","","6.6","","","","26","","75",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-23","2021","02","23","","8.5","","1.8","","5.2","","12.8","","0.0","","","","","","3.6","","","","26","","67",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-24","2021","02","24","","7.5","","0.4","","4.0","","14.0","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-25","2021","02","25","","7.2","","2.4","","4.8","","13.2","","0.0","","","","","","7.4","","","","26","","83",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-26","2021","02","26","","9.2","","4.0","","6.6","","11.4","","0.0","","","","","","2.4","","","","25","","75",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-27","2021","02","27","","7.9","","2.4","","5.2","","12.8","","0.0","","","","","","2.0","","","","28","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-02-28","2021","02","28","","9.1","","4.5","","6.8","","11.2","","0.0","","","","","","1.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-01","2021","03","01","","9.6","","4.7","","7.1","","10.9","","0.0","","","","","","0.0","","","","29","","36",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-02","2021","03","02","","9.2","","3.4","","6.3","","11.7","","0.0","","","","","","0.0","","","","27","","44",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-03","2021","03","03","","9.3","","4.4","","6.9","","11.1","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-04","2021","03","04","","10.6","","3.6","","7.1","","10.9","","0.0","","","","","","0.0","","","","13","","34",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-05","2021","03","05","","12.3","","6.4","","9.4","","8.6","","0.0","","","","","","1.4","","","","26","","56",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-06","2021","03","06","","10.8","","4.8","","7.8","","10.2","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-07","2021","03","07","","9.4","","3.6","","6.5","","11.5","","0.0","","","","","","0.6","","","","26","","72",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-08","2021","03","08","","11.3","","3.5","","7.4","","10.6","","0.0","","","","","","0.0","","","","9","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-09","2021","03","09","","9.8","","3.9","","6.8","","11.2","","0.0","","","","","","0.0","","","","14","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-10","2021","03","10","","10.1","","2.1","","6.1","","11.9","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-11","2021","03","11","","11.0","","2.5","","6.8","","11.2","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-12","2021","03","12","","10.4","","3.7","","7.0","","11.0","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-13","2021","03","13","","9.5","","3.9","","6.7","","11.3","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-14","2021","03","14","","9.1","","4.5","","6.8","","11.2","","0.0","","","","","","0.0","","","","26","","65",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-15","2021","03","15","","7.8","","1.6","","4.7","","13.3","","0.0","","","","","","0.0","","","","26","","31",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-16","2021","03","16","","9.7","","2.0","","5.9","","12.1","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-17","2021","03","17","","10.4","","2.7","","6.6","","11.4","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-18","2021","03","18","","12.4","","4.9","","8.7","","9.3","","0.0","","","","","","0.0","","","","14","","45",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-19","2021","03","19","","11.7","","5.7","","8.7","","9.3","","0.0","","","","","","0.6","","","","16","","49",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-20","2021","03","20","","10.8","","5.6","","8.2","","9.8","","0.0","","","","","","1.4","","","","27","","68",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-21","2021","03","21","","8.5","","5.0","","6.7","","11.3","","0.0","","","","","","4.8","","","","25","","51",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-22","2021","03","22","","10.8","","4.4","","7.6","","10.4","","0.0","","","","","","2.2","","","","26","","51",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-23","2021","03","23","","10.3","","3.3","","6.8","","11.2","","0.0","","","","","","0.0","","","","30","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-24","2021","03","24","","9.5","","5.8","","7.6","","10.4","","0.0","","","","","","15.4","","","","25","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-25","2021","03","25","","10.8","","4.9","","7.9","","10.1","","0.0","","","","","","1.6","","","","1","","34",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-26","2021","03","26","","10.7","","4.6","","7.6","","10.4","","0.0","","","","","","0.0","","","","24","","43",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-27","2021","03","27","","9.4","","6.1","","7.8","","10.2","","0.0","","","","","","0.0","","","","21","","39",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-28","2021","03","28","","7.9","","3.0","","5.4","","12.6","","0.0","","","","","","11.6","","","","25","","87",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-29","2021","03","29","","10.1","","3.0","","6.6","","11.4","","0.0","","","","","","0.2","","","","27","","31",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-30","2021","03","30","","10.4","","3.0","","6.7","","11.3","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-03-31","2021","03","31","","12.7","","3.1","","7.9","","10.1","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-01","2021","04","01","","12.5","","5.9","","9.2","","8.8","","0.0","","","","","","0.0","","","","27","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-02","2021","04","02","","10.2","","5.8","","8.0","","10.0","","0.0","","","","","","0.0","","","","24","","36",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-03","2021","04","03","","11.5","","5.9","","8.7","","9.3","","0.0","","","","","","0.0","","","","26","","46",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-04","2021","04","04","","11.7","","4.5","","8.1","","9.9","","0.0","","","","","","0.2","","","","25","","50",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-05","2021","04","05","","11.3","","3.5","","7.4","","10.6","","0.0","","","","","","0.4","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-06","2021","04","06","","11.4","","3.4","","7.4","","10.6","","0.0","","","","","","0.0","","","","27","","46",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-07","2021","04","07","","9.2","","5.5","","7.4","","10.6","","0.0","","","","","","2.6","","","","25","","50",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-08","2021","04","08","","11.3","","3.7","","7.5","","10.5","","0.0","","","","","","0.0","","","","26","","52",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-09","2021","04","09","","7.3","","4.7","","6.0","","12.0","","0.0","","","","","","2.6","","","","26","","53",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-10","2021","04","10","","10.7","","1.9","","6.3","","11.7","","0.0","","","","","","1.8","","","","26","","63",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-11","2021","04","11","","10.9","","2.4","","6.7","","11.3","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-12","2021","04","12","","14.3","","3.2","","8.8","","9.2","","0.0","","","","","","0.0","","","","1","","40",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-13","2021","04","13","","17.3","","7.5","","12.4","","5.6","","0.0","","","","","","0.0","","","","1","","47",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-14","2021","04","14","","16.9","","7.5","","12.2","","5.8","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-15","2021","04","15","","21.8","","8.1","","15.0","","3.0","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-16","2021","04","16","","22.5","","8.7","","15.6","","2.4","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-17","2021","04","17","","24.0","","10.8","","17.4","","0.6","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-18","2021","04","18","","18.7","","9.2","","14.0","","4.0","","0.0","","","","","","0.0","","","","26","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-19","2021","04","19","","20.7","","9.1","","14.9","","3.1","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-20","2021","04","20","","15.2","","7.6","","11.4","","6.6","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-21","2021","04","21","","14.0","","7.3","","10.7","","7.3","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-22","2021","04","22","","15.5","","6.8","","11.1","","6.9","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-23","2021","04","23","","13.4","","8.5","","11.0","","7.0","","0.0","","","","","","0.0","","","","26","","40",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-24","2021","04","24","","9.9","","7.6","","8.8","","9.2","","0.0","","","","","","8.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-25","2021","04","25","","11.0","","7.3","","9.2","","8.8","","0.0","","","","","","4.4","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-26","2021","04","26","","13.1","","8.3","","10.7","","7.3","","0.0","","","","","","0.0","","","","23","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-27","2021","04","27","","12.1","","7.6","","9.9","","8.1","","0.0","","","","","","0.0","","","","28","","37",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-28","2021","04","28","","13.8","","8.6","","11.2","","6.8","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-29","2021","04","29","","16.6","","9.6","","13.1","","4.9","","0.0","","","","","","0.0","","","","25","","38",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-04-30","2021","04","30","","14.2","","8.9","","11.6","","6.4","","0.0","","","","","","2.2","","","","22","","48",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-01","2021","05","01","","14.1","","8.3","","11.2","","6.8","","0.0","","","","","","0.0","","","","25","","62",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-02","2021","05","02","","13.9","","7.3","","10.6","","7.4","","0.0","","","","","","0.0","","","","26","","36",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-03","2021","05","03","","13.3","","8.2","","10.8","","7.2","","0.0","","","","","","0.4","","","","20","","32",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-04","2021","05","04","","16.3","","7.9","","12.1","","5.9","","0.0","","","","","","0.0","","","","24","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-05","2021","05","05","","17.1","","6.7","","11.9","","6.1","","0.0","","","","","","0.0","","","","2","","34",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-06","2021","05","06","","17.0","","8.5","","12.7","","5.3","","0.0","","","","","","0.0","","","","25","","66",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-07","2021","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-08","2021","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-09","2021","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-10","2021","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-11","2021","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-12","2021","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-13","2021","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-14","2021","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-15","2021","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-16","2021","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-17","2021","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-18","2021","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-19","2021","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-20","2021","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-21","2021","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-22","2021","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-23","2021","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-24","2021","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-25","2021","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-26","2021","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-27","2021","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-28","2021","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-29","2021","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-30","2021","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-05-31","2021","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-01","2021","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-02","2021","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-03","2021","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-04","2021","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-05","2021","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-06","2021","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-07","2021","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-08","2021","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-09","2021","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-10","2021","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-11","2021","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-12","2021","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-13","2021","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-14","2021","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-15","2021","06","15","","","","","","","","","","","","","","","","","","","","","","",""
